date,avg_pnl,total_pnl,avg_size,total_volume,active_accounts,value,classification
2024-12-02,57.11761168749999,913.8817869999998,14202.981249999999,227247.69999999998,1,80,Extreme Greed
2024-12-03,379.89575,3039.166,12880.10625,103040.85,1,76,Extreme Greed
2024-12-04,-4.594153790697676,-592.6458390000001,3427.0433333333335,442088.59,3,78,Extreme Greed
2024-12-05,0.0,0.0,2399.111304347826,55179.56,2,84,Extreme Greed
2024-12-06,-86.16744682283463,-21886.531493,761.4486614173228,193407.96,2,72,Greed
2024-12-07,74.33235021052631,1412.314654,4714.893157894737,89582.97,2,75,Extreme Greed
2024-12-08,17.88896875,858.6705000000001,1128.4858333333334,54167.32,3,79,Extreme Greed
2024-12-10,54.155471,541.55471,15971.34,159713.4,1,78,Extreme Greed
2024-12-11,20.435084175438597,3494.399394,7171.663859649123,1226354.52,4,74,Greed
2024-12-12,310.1199767122153,599151.795008,2358.7939285714288,4557189.87,14,83,Extreme Greed
2025-01-01,-99.25068067708334,-9528.065345,2943.5635416666664,282582.1,6,66,Greed
2025-01-02,50.946695610410096,32300.205017,2151.019621451104,1363746.44,12,70,Greed
2025-01-03,60.897177977011495,10596.108968,1516.230632183908,263824.13,5,74,Greed
2025-01-04,-11.472199177083334,-2202.6622420000003,3668.9853645833336,704445.1900000001,9,73,Greed
2025-01-05,44.338885607317074,54536.829297000004,8715.642699186992,10720240.52,11,72,Greed
2025-02-01,24.145482235457067,8716.519087,2145.9136842105263,774674.84,9,68,Greed
2025-02-02,123.46835452843062,162854.759623,4291.957763457164,5661092.29,13,60,Greed
2025-02-03,125.77879832330827,66914.320708,12144.452518796992,6460848.74,10,44,Fear
2025-02-04,187.930056633829,202212.740938,3594.7310408921935,3867930.6,11,72,Greed
2025-03-01,11.867099986220472,6028.486793,1518.1279330708662,771208.99,9,20,Extreme Fear
2025-03-02,146.58459086932774,348871.326269,9492.815701680673,22592901.37,12,26,Fear
2025-03-03,415.9332201302294,616413.032233,5563.151403508772,8244590.38,14,33,Fear
2025-03-04,-1.353524757437071,-2365.961276,4960.087614416476,8670233.15,17,15,Extreme Fear
2025-04-01,6.882851665768194,2553.537968,4921.912722371967,1826029.6199999999,9,34,Fear
2025-04-02,165.9541752070064,416876.88812,6241.404964171974,15678409.27,13,44,Fear
2025-04-03,75.80165136761032,182075.566585,4631.24360949209,11124247.15,16,25,Fear
2025-04-04,-20.05949602987421,-25515.678949999998,3015.3661399371067,3835545.73,14,28,Fear
2025-05-01,13.337737920502093,3187.719363,1890.977280334728,451943.57,8,53,Neutral
2025-05-02,43.721075992289904,56706.235562,6741.1191287586735,8743231.51,11,67,Greed
